epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4153.17,2.23089,0.95312,0.72743,0.8989,0.72524,0.81649,0.40398,1.95405,0.98494,0.74671,0.000698412,0.000698412,0.000698412
69,4213.88,2.29237,0.98448,0.71113,0.84472,0.74732,0.81302,0.39593,2.00275,1.00978,0.74865,0.00069043,0.00069043,0.00069043
70,4275.15,2.23399,0.94378,0.72302,0.85628,0.77316,0.815,0.38616,2.0025,0.97661,0.74982,0.000682392,0.000682392,0.000682392
71,4336,2.20831,0.9484,0.71629,0.85414,0.73802,0.80967,0.39006,2.02798,1.01212,0.74496,0.0006743,0.0006743,0.0006743
72,4397.12,2.27239,0.97465,0.72493,0.87882,0.75305,0.82364,0.39246,2.01381,0.98322,0.75234,0.000666156,0.000666156,0.000666156
73,4458.28,2.22618,0.95541,0.7233,0.85437,0.7508,0.8253,0.40927,1.97506,0.98758,0.74943,0.000657963,0.000657963,0.000657963
74,4519.06,2.15356,0.90739,0.71429,0.86643,0.73962,0.82111,0.40708,1.96129,0.9643,0.75036,0.000649724,0.000649724,0.000649724
75,4579.66,2.24839,0.92476,0.71534,0.90636,0.73962,0.83294,0.4191,1.92807,0.97509,0.74731,0.00064144,0.00064144,0.00064144
76,4640.06,2.21432,0.9205,0.71385,0.87969,0.74281,0.81726,0.40625,2.01002,1.01823,0.748,0.000633115,0.000633115,0.000633115
77,4700.47,2.23466,0.9337,0.72315,0.86664,0.74441,0.81549,0.3932,1.98368,0.99138,0.74879,0.000624751,0.000624751,0.000624751
78,4760.87,2.20392,0.91851,0.72097,0.88371,0.76198,0.83468,0.41658,1.94741,0.98546,0.75081,0.000616351,0.000616351,0.000616351
79,4821.14,2.18937,0.89886,0.71822,0.89499,0.73003,0.81876,0.40744,1.96665,0.98884,0.74611,0.000607916,0.000607916,0.000607916
80,4881.18,2.21653,0.93955,0.72512,0.88439,0.76198,0.82863,0.41676,1.96519,0.97216,0.75053,0.00059945,0.00059945,0.00059945
81,4940.67,2.21269,0.90293,0.72258,0.90858,0.72204,0.82067,0.41603,1.94661,0.97572,0.74783,0.000590956,0.000590956,0.000590956
82,5000.22,2.20074,0.91701,0.71439,0.90369,0.74601,0.82108,0.4098,1.97316,0.96357,0.75041,0.000582435,0.000582435,0.000582435
