clip,ball_lon,mean_lon,n_players,n_clusters_eps8,c8_lon,c8_size,c8_height,c12_lon,c12_size,c15_lon,c15_size,c20_lon,c20_size,c25_lon,c25_size,c8_c25_diff,c8_mean_diff,best_eps,best_dist
VID_20241028_124047_10_010,3.1911219851919235,15.638169354103232,12,2,26.708562153620413,8,25.68854522705078,19.783187604886244,11,19.783187604886244,11,19.783187604886244,11,15.638169354103232,12,11.070392799517181,11.070392799517181,25,12.447047368911308
VID_20241028_124047_10_010,3.705065276363136,13.993369365892272,14,2,24.842893212807056,9,26.812347412109375,17.50801543285026,13,17.50801543285026,13,17.50801543285026,13,13.993369365892272,14,10.849523846914783,10.849523846914783,25,10.288304089529136
VID_20241028_124047_10_010,24.42147773169571,-13.842551583142573,17,5,-45.29485600204636,5,35.253326416015625,-13.842551583142573,17,-13.842551583142573,17,-13.842551583142573,17,-13.842551583142573,17,31.452304418903786,31.452304418903786,12,38.26402931483828
VID_20241028_124047_10_010,-37.49918581518871,-6.9589265813763825,15,4,-0.3049946663547498,5,40.50150756835937,-6.9589265813763825,15,-6.9589265813763825,15,-6.9589265813763825,15,-6.9589265813763825,15,6.653931915021633,6.653931915021633,12,30.54025923381233
VID_20241028_124047_10_010,-36.87704941483192,-3.421860098832598,16,4,0.6331689437851101,6,49.57209269205729,-3.421860098832598,16,-3.421860098832598,16,-3.421860098832598,16,-3.421860098832598,16,4.055029042617708,4.055029042617708,12,33.45518931599933
VID_20241028_124047_10_010,-29.756014892390937,-49.90899087575043,13,3,-65.25735728429345,6,31.38884989420573,-49.90899087575043,13,-49.90899087575043,13,-49.90899087575043,13,-49.90899087575043,13,15.348366408543015,15.348366408543015,12,20.152975983359497
VID_20241028_124047_10_010,-29.892386732010543,-48.62958771106518,9,3,-66.46712083314782,4,33.525840759277344,-34.359561213399076,5,-48.62958771106518,9,-48.62958771106518,9,-48.62958771106518,9,17.83753312208264,17.83753312208264,12,4.467174481388533
VID_20241028_124047_10_010,-29.321565191037024,-49.50479971206016,12,2,-55.966956781131984,9,31.43611314561632,-49.50479971206016,12,-49.50479971206016,12,-49.50479971206016,12,-49.50479971206016,12,6.4621570690718215,6.4621570690718215,12,20.183234521023138
VID_20241028_124047_10_010,-55.48078810282695,-24.64964825605499,11,2,-38.34243354689857,7,26.337703159877233,-38.34243354689857,7,-38.34243354689857,7,-38.34243354689857,7,-24.64964825605499,11,13.692785290843577,13.692785290843577,8,17.13835455592838
VID_20241028_124047_10_010,-54.81247859291213,-23.862388900771226,10,2,-35.75179457246343,7,24.897635323660715,-35.75179457246343,7,-35.75179457246343,7,-35.75179457246343,7,-23.862388900771226,10,11.889405671692206,11.889405671692206,8,19.060684020448697
VID_20241028_124047_10_010,-5.588921307550308,-35.97268272288984,12,2,-23.04314719015659,8,24.8551025390625,-23.04314719015659,8,-23.04314719015659,8,-35.97268272288984,12,-35.97268272288984,12,12.929535532733254,12.929535532733254,8,17.45422588260628
VID_20241028_124047_10_010,-14.809260907111554,-11.891469428757253,15,3,-28.37097078063142,8,26.349578857421875,-19.624670250769174,12,-14.824980993602002,14,-11.891469428757253,15,-11.891469428757253,15,16.47950135187417,16.47950135187417,15,0.015720086490448537
VID_20241028_124047_10_010,7.135310504744416,-3.334820952522395,14,3,-13.523639195349542,8,37.90899658203125,-6.625143898363285,11,-3.334820952522395,14,-3.334820952522395,14,-3.334820952522395,14,10.188818242827146,10.188818242827146,15,10.47013145726681
VID_20241028_124047_10_010,7.301683937944336,-0.8079210490875993,14,3,-6.535929160967666,4,44.02058410644531,9.29934362019844,10,-0.8079210490875993,14,-0.8079210490875993,14,-0.8079210490875993,14,5.728008111880067,5.728008111880067,12,1.9976596822541044
VID_20241028_124047_10_010,27.30582258084948,-0.7544838773321506,14,4,9.84547671479333,6,32.81664021809896,-6.35585536993329,12,-0.7544838773321506,14,-0.7544838773321506,14,-0.7544838773321506,14,10.59996059212548,10.59996059212548,8,17.46034586605615
VID_20241028_124047_10_010,-50.98190620256153,-25.085892588151836,16,3,-27.859484132853005,11,29.94136463512074,-25.085892588151836,16,-25.085892588151836,16,-25.085892588151836,16,-25.085892588151836,16,2.773591544701169,2.773591544701169,8,23.122422069708527
VID_20241028_124047_10_010,-53.03710575407012,-25.780296790474715,15,3,-28.286461882484343,10,29.182672119140623,-25.780296790474715,15,-25.780296790474715,15,-25.780296790474715,15,-25.780296790474715,15,2.5061650920096277,2.5061650920096277,8,24.750643871585776
VID_20241028_124047_10_010,12.133200903824864,-10.7177731342557,15,3,6.597261127768,8,42.72488784790039,-3.7034987980622263,13,-3.7034987980622263,13,-6.55559648488073,14,-6.55559648488073,14,13.15285761264873,17.3150342620237,8,5.535939776056864
VID_20241028_124047_10_010,12.926331994048075,-7.87440876496158,15,5,-7.979649301207893,3,57.605224609375,1.810594749601114,12,1.810594749601114,12,-3.7720300131041538,14,-3.7720300131041538,14,4.207619288103739,0.10524053624631247,12,11.115737244446962
VID_20241028_124047_10_010,12.824975751352412,-3.4902558728429036,14,3,10.315392940554515,8,41.70431137084961,2.4913464906070604,12,2.4913464906070604,12,-3.4902558728429036,14,-3.4902558728429036,14,13.805648813397418,13.805648813397418,8,2.5095828107978964
VID_20241028_124047_10_010,-48.027229789519566,-10.219305199195023,20,3,-32.76784150012046,10,41.56466064453125,-10.219305199195023,20,-10.219305199195023,20,-10.219305199195023,20,-10.219305199195023,20,22.548536300925438,22.548536300925438,8,15.259388289399105
VID_20241028_124047_10_010,23.662432772082767,-16.427097652169856,18,2,9.147917611313888,8,48.4017219543457,-16.427097652169856,18,-16.427097652169856,18,-16.427097652169856,18,-16.427097652169856,18,25.575015263483742,25.575015263483742,8,14.514515160768878
VID_20241028_124047_10_010,20.909922080543176,-15.469780871256088,19,2,4.983258294660694,10,44.87662353515625,-15.469780871256088,19,-15.469780871256088,19,-15.469780871256088,19,-15.469780871256088,19,20.45303916591678,20.45303916591678,8,15.926663785882482
VID_20241028_124047_10_010,0.7563060553731589,-9.68983712128212,17,3,3.0659356201649284,11,33.3611006303267,-9.68983712128212,17,-9.68983712128212,17,-9.68983712128212,17,-9.68983712128212,17,12.755772741447048,12.755772741447048,8,2.3096295647917695
VID_20241028_124047_10_010,-1.0782758168740685,-9.68474758240591,15,3,2.793567088967618,10,35.72140197753906,2.793567088967618,10,-9.68474758240591,15,-9.68474758240591,15,-9.68474758240591,15,12.478314671373528,12.478314671373528,8,3.8718429058416866
VID_20241028_124047_10_010,-0.968110200370969,-9.099732385331748,15,3,5.53686880477828,9,35.828206380208336,-9.099732385331748,15,-9.099732385331748,15,-9.099732385331748,15,-9.099732385331748,15,14.636601190110028,14.636601190110028,8,6.504979005149249
VID_20241028_124047_10_010,-26.899958820198098,-26.173706628923085,13,2,-31.394743738545177,9,36.21678331163194,-27.5490759705952,11,-27.5490759705952,11,-30.287813724106005,12,-30.287813724106005,12,1.1069300144391718,5.221037109622092,12,0.6491171503971032
VID_20241028_124047_10_010,32.584005333651476,15.749772279787855,17,3,29.29177370335893,11,44.06631192294034,26.66049267854293,13,26.66049267854293,13,15.749772279787855,17,15.749772279787855,17,13.542001423571076,13.542001423571076,8,3.2922316302925445
VID_20241028_124047_10_010,32.022995205598534,20.922519817760445,19,2,27.12587442231632,16,41.291561126708984,27.12587442231632,16,27.12587442231632,16,20.922519817760445,19,20.922519817760445,19,6.203354604555873,6.203354604555873,8,4.897120783282215
VID_20241028_124047_10_010,-75.57500057419418,-53.418974217404646,15,2,-69.220762674795,10,43.35948791503906,-69.220762674795,10,-69.220762674795,10,-61.894978122880765,13,-58.289618532637185,14,10.931144142157812,15.801788457390352,8,6.35423789939918
VID_20241028_124047_10_010,-75.19983628380717,-55.36742530722594,18,2,-70.02669280622582,12,46.36083984375,-62.599891624617825,16,-62.599891624617825,16,-62.599891624617825,16,-59.527145650922755,17,10.49954715530307,14.659267498999881,8,5.173143477581348
VID_20241028_124047_10_010,-34.773853326151354,-41.65443579617374,10,2,-55.69473371782519,6,31.027537027994793,-55.69473371782519,6,-55.69473371782519,6,-41.65443579617374,10,-41.65443579617374,10,14.040297921651444,14.040297921651444,20,6.880582470022389
VID_20241028_124047_10_010,-0.5730977985478596,3.023058836999823,13,2,-12.420269125212004,7,33.45133754185268,-12.420269125212004,7,3.023058836999823,13,3.023058836999823,13,3.023058836999823,13,15.443327962211827,15.443327962211827,15,3.5961566355476826
VID_20241028_124047_10_010,-36.3238901539995,-37.110545559981915,14,2,-32.666260350819485,10,34.366461181640624,-39.93248686785277,13,-39.93248686785277,13,-37.110545559981915,14,-37.110545559981915,14,4.44428520916243,4.44428520916243,20,0.7866554059824153
VID_20241028_124047_10_010,0.4838734680220042,-9.215191322431098,23,2,3.8255816413991344,16,44.61530876159668,3.8255816413991344,16,-6.773455384747535,22,-6.773455384747535,22,-9.215191322431098,23,13.040772963830232,13.040772963830232,8,3.34170817337713
VID_20241028_124047_10_010,2.0285890741897745,-13.310171151769053,16,2,3.926675020140337,10,42.417416381835935,3.926675020140337,10,3.926675020140337,10,-13.310171151769053,16,-13.310171151769053,16,17.23684617190939,17.23684617190939,8,1.8980859459505623
VID_20241028_124047_10_010,0.4838734680220042,-9.175986477474805,22,2,4.750934503579276,15,42.37303059895833,4.750934503579276,15,-6.616040026186634,21,-6.616040026186634,21,-9.175986477474805,22,13.926920981054081,13.926920981054081,8,4.267061035557272
VID_20241028_124047_10_010,-44.70531575335399,-24.204893371970016,18,2,-33.93643830840112,14,47.88188607352121,-27.52886331400552,17,-27.52886331400552,17,-27.52886331400552,17,-27.52886331400552,17,6.407574994395603,9.731544936431106,8,10.76887744495287
VID_20241028_124047_10_010,36.64394633936773,17.523755399142757,17,2,25.92014525758668,14,47.59065464564732,25.92014525758668,14,21.13628063934939,16,21.13628063934939,16,21.13628063934939,16,4.783864618237288,8.396389858443921,8,10.723801081781051
VID_20241028_124047_10_010,47.64643536939942,22.60170874423794,17,3,40.327395820407425,9,29.349683973524307,35.47337025435757,12,35.47337025435757,12,26.476282467903793,16,26.476282467903793,16,13.851113352503631,17.725687076169486,8,7.319039548991995
VID_20241028_124047_10_010,-49.64643536939941,-23.057499216707136,16,3,-41.44504571570936,8,29.75859832763672,-36.39305149658336,11,-36.39305149658336,11,-27.084167749603704,15,-27.084167749603704,15,14.360877966105658,18.387546499002227,8,8.20138965369005
VID_20241028_124047_10_010,-44.9881083482852,5.071192381144653,20,3,34.791548767717074,8,44.77459335327149,23.489367297029208,14,23.489367297029208,14,5.071192381144653,20,5.071192381144653,20,29.720356386572423,29.720356386572423,20,50.05930072942986
VID_20241028_124047_10_010,-45.531734274835394,-0.1975550198325794,21,3,32.519332009841165,7,42.71649605887277,19.586670042988583,14,19.586670042988583,14,-0.1975550198325794,21,-0.1975550198325794,21,32.71688702967374,32.71688702967374,20,45.334179255002816
VID_20241028_124047_10_010,34.741298796540185,-13.469310640727826,22,3,-45.183736668304135,8,46.26966094970703,-32.89753237256835,15,-32.89753237256835,15,-13.469310640727826,22,-13.469310640727826,22,31.71442602757631,31.71442602757631,20,48.21060943726801
